model,emb,graph,actl,lr,epochs,weight_decay,shuffle_train_val,train_size,val_size,test_size,knn_total,knn_train,select_best,bacc_mean,bacc_std
NGCN,clipsum,knn,kmeans,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7509,0.0267
NGCN,clipsum,knn,leiden-mci,1e-05,100,0.001,False,18,12,-1,16,10,val,0.8031,0.0393
NGCN,clipsum,knn,random,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7552,0.0138
NAtt,clipsum,knn,kmeans,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7485,0.0311
NAtt,clipsum,knn,leiden-mci,1e-05,100,0.001,False,18,12,-1,16,10,val,0.7944,0.0361
